# Band error: ours vs libvorbis, both via our decoder

## nik @ 96k (ours 84.0 vs ref 84.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
## naz @ 96k (ours 85.4 vs ref 85.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -15.4   -20.2    4.7    -0.1    -0.1
200-300     -14.2   -20.5    6.3    -0.1    -0.1
300-400     -14.7   -22.9    8.2    -0.1    -0.1
400-510     -14.0   -22.5    8.4    -0.1    -0.0
510-630     -11.0   -20.1    9.1    -0.3    -0.1
630-770      -9.5   -18.2    8.7    -0.4    -0.1
770-920     -14.2   -22.8    8.7    -0.1    -0.0
920-1080    -11.7   -19.0    7.3    -0.2    -0.1
1080-1270     -8.6   -13.3    4.7    -0.5    -0.2
1270-1480    -11.6   -15.6    4.0    -0.2    -0.2
1480-1720    -10.6   -13.1    2.5    -0.2    -0.2
1720-2000    -12.8   -15.4    2.6    -0.2    -0.2
2000-2320     -7.9    -9.6    1.7    -0.6    -0.4
2320-2700     -7.9   -10.1    2.2    -0.6    -0.4
2700-3150     -9.5   -11.5    1.9    -0.4    -0.3
3150-3700     -8.5   -10.2    1.6    -0.5    -0.3
3700-4400     -8.6   -10.3    1.7    -0.2    -0.3
4400-5300     -8.4   -10.5    2.0     0.1    -0.3
5300-6400     -5.4    -7.0    1.6    -0.6    -0.3
6400-7700     -5.0    -4.7   -0.2    -0.8     0.1
7700-9500     -8.0    -5.8   -2.2    -0.2     0.3
9500-12000     -7.0    -5.7   -1.3    -0.5     0.0
12000-15500     -1.9    -1.5   -0.4    -2.4     0.8
15500-24000     -1.5    -5.9    4.3    -3.1    -0.1
broadband corr: ours 0.9792 ref 0.9923

## naz @ 128k (ours 121.3 vs ref 120.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -20.6   -23.6    3.1    -0.0    -0.1
200-300     -19.2   -24.5    5.3    -0.0    -0.1
300-400     -19.3   -27.3    8.0    -0.0    -0.0
400-510     -18.4   -27.2    8.8    -0.0    -0.0
510-630     -14.9   -25.1   10.1    -0.1    -0.0
630-770     -13.1   -23.3   10.2    -0.1    -0.0
770-920     -18.1   -28.0    9.9    -0.0     0.0
920-1080    -15.1   -24.6    9.5    -0.1    -0.0
1080-1270    -11.3   -18.8    7.5    -0.2    -0.1
1270-1480    -14.8   -21.1    6.3    -0.1    -0.1
1480-1720    -13.8   -18.7    5.0    -0.1    -0.1
1720-2000    -16.2   -20.3    4.2    -0.1    -0.1
2000-2320    -11.0   -14.0    3.1    -0.3    -0.2
2320-2700    -11.1   -14.4    3.3    -0.3    -0.2
2700-3150    -12.6   -15.5    2.9    -0.2    -0.1
3150-3700    -11.7   -14.6    2.9    -0.2    -0.2
3700-4400    -11.0   -14.6    3.6     0.1    -0.2
4400-5300    -10.5   -14.5    4.0     0.2    -0.2
5300-6400     -7.3   -11.0    3.7    -0.1    -0.3
6400-7700     -6.7    -9.3    2.6    -0.2    -0.4
7700-9500     -9.8    -7.5   -2.3     0.0    -0.3
