# lane-opusx2 r5: EC_OPUS_TF_K=1.5 (CVBR tf boost) (on the aligned tree: Fs/250 delay + dc_reject)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.2	0.9883	0.9864	-0.0019	-155.70	-154.78	1.005	0.9765	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9943	0.9940	-0.0003	-111.16	-31.55	1.781	0.9888	0.9888	0	0
zaur	64	63.5	63.6	-0.2	0.9886	0.9866	-0.0020	-179.06	-123.36	1.347	0.9699	0.9686	0	0
zaur	96	93.2	93.9	-0.7	0.9942	0.9937	-0.0004	-89.99	-125.18	0.805	0.9869	0.9854	0	0
her	64	67.5	67.9	-0.7	0.9825	0.9794	-0.0030	-347.44	-339.00	1.032	0.9466	0.9406	0	0
her	96	100.7	101.5	-0.8	0.9913	0.9902	-0.0011	-247.70	-191.50	1.289	0.9760	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9904	0.9880	-0.0024	-272.52	-128.39	1.987	0.9710	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9952	0.9948	-0.0004	-261.59	-29.16	3.825	0.9849	0.9804	0	0
dl8a	64	65.5	65.8	-0.4	0.9883	0.9865	-0.0019	-394.10	-378.84	1.055	0.9784	0.9723	0	0
dl8a	96	96.3	96.8	-0.5	0.9936	0.9934	-0.0002	-406.85	-423.47	0.945	0.9865	0.9864	0	0
hein	64	64.6	64.9	-0.4	0.9876	0.9874	-0.0003	-374.22	-388.31	0.951	0.9258	0.9148	0	0
hein	96	86.5	86.9	-0.4	0.9938	0.9930	-0.0007	-373.59	-246.46	1.638	0.9651	0.9499	0	0
