# lane-opustr2 r12: k=1.25 off=.044 thresh tfe>=0.35
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9887	0.9864	-0.0024	-91.33	-154.78	0.690	0.9768	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9947	0.9940	-0.0007	-36.69	-31.55	1.046	0.9887	0.9888	0	0
zaur	64	63.5	63.6	-0.1	0.9893	0.9866	-0.0027	-202.82	-123.36	1.510	0.9699	0.9686	0	0
zaur	96	93.3	93.9	-0.6	0.9946	0.9937	-0.0009	-112.41	-125.18	0.927	0.9861	0.9854	0	0
her	64	67.6	67.9	-0.5	0.9833	0.9794	-0.0039	-366.27	-339.00	1.105	0.9472	0.9406	0	0
her	96	100.8	101.5	-0.7	0.9913	0.9902	-0.0011	-206.39	-191.50	1.073	0.9725	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-198.89	-128.39	1.440	0.9719	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9956	0.9948	-0.0008	-169.83	-29.16	2.516	0.9855	0.9804	0	0
dl8a	64	65.7	65.8	-0.2	0.9889	0.9865	-0.0024	-225.53	-378.84	0.547	0.9789	0.9723	0	0
dl8a	96	96.5	96.8	-0.3	0.9942	0.9934	-0.0008	-211.05	-423.47	0.439	0.9879	0.9864	0	0
hein	64	64.7	64.9	-0.3	0.9883	0.9874	-0.0010	-130.19	-388.31	0.329	0.9281	0.9148	0	0
hein	96	86.7	86.9	-0.3	0.9943	0.9930	-0.0013	-105.05	-246.46	0.488	0.9674	0.9499	0	0
