# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9887	0.9864	-0.0023	-114.88	-154.78	0.800	0.9769	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9947	0.9940	-0.0007	-109.44	-31.55	1.763	0.9891	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9894	0.9866	-0.0028	-170.07	-123.36	1.287	0.9709	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9950	0.9937	-0.0013	-100.39	-125.18	0.861	0.9875	0.9854	0	0
her	64	67.6	67.9	-0.4	0.9837	0.9794	-0.0042	-333.52	-339.00	0.980	0.9481	0.9406	0	0
her	96	101.0	101.5	-0.5	0.9925	0.9902	-0.0022	-248.22	-191.50	1.292	0.9774	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-263.61	-128.39	1.916	0.9717	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9956	0.9948	-0.0008	-266.25	-29.16	3.900	0.9856	0.9804	0	0
dl8a	64	65.7	65.8	-0.1	0.9890	0.9865	-0.0025	-204.82	-378.84	0.498	0.9789	0.9723	0	0
dl8a	96	96.6	96.8	-0.3	0.9943	0.9934	-0.0009	-170.45	-423.47	0.361	0.9882	0.9864	0	0
hein	64	64.8	64.9	-0.2	0.9888	0.9874	-0.0014	-382.47	-388.31	0.980	0.9345	0.9148	0	0
hein	96	86.8	86.9	-0.2	0.9945	0.9930	-0.0015	-367.35	-246.46	1.602	0.9700	0.9499	0	0
