# sadie@12k SILK oracle: ours vs ffmpeg-libopus indices (r1)
# mono, 120s, 20ms frames, VBR constrained, 48kHz, Application::Voip
# ours_frames=6000 ref_frames=6001
# sig: 0=unvoiced 2=voiced | per: LTP codebook | nlsf_i: 4=nointerp
# gains/ltp are 4 subframe indices; lag/contour only for voiced

=== second 3 (frames 150–199) ===
frame  side sig qoff gains[4]        nlsf_i lag  cont per ltp[4]         ltpscl seed bytes
  178  O    2   0  [36, 1, 4, 5]   4      47    0   1   [2,12,1,15]   0     0   33
  178  R    2   1  [34, 4, 3, 4]   4      52   14   0   [6,0,3,4]   0     2   29
  179  O    2   0  [37, 2, 5, 3]   4      48    3   2   [30,0,10,27]   0     0   30
  179  R    2   0  [33, 4, 4, 4]   4      53    9   0   [2,0,2,2]   0     1   33
  180  O    2   0  [38, 3, 5, 4]   4      47    4   2   [27,7,7,7]   0     0   25
  180  R    2   0  [32, 4, 4, 4]   4      52    2   0   [2,0,4,5]   0     2   30
  181  O    2   0  [36, 5, 5, 4]   4      47    7   0   [5,0,2,2]   0     0   38
  181  R    2   0  [32, 4, 5, 4]   4      51    2   1   [9,11,9,8]   0     1   38
  182  O    2   0  [39, 5, 3, 4]   4      47    5   0   [7,6,1,1]   0     0   30
  182  R    2   0  [35, 4, 4, 4]   4      51    0   0   [0,6,5,5]   0     0   34
  183  O    2   0  [41, 4, 4, 4]   4      46    1   0   [2,7,1,0]   0     0   25
  183  R    2   0  [35, 4, 4, 4]   4      50    2   1   [9,9,4,12]   0     2   31
  184  O    2   0  [42, 4, 3, 4]   4      47    0   2   [23,30,7,7]   0     0   37
  184  R    2   0  [35, 5, 3, 4]   4      51    0   2   [18,7,1,14]   0     3   31
  185  O    2   0  [44, 2, 1, 6]   4      50    3   2   [31,31,25,25]   0     0   27
  185  R    2   0  [35, 3, 4, 4]   4      51    4   0   [0,4,4,6]   0     1   30
  186  O    2   0  [41, 3, 3, 4]   4      51    3   2   [31,25,25,25]   0     0   29
  186  R    2   0  [34, 4, 4, 3]   4      52    6   1   [12,9,11,12]   0     1   33
  187  O    2   0  [63, 4, 4, 4]   4      51    3   0   [1,1,1,1]   0     0   15
  187  R    2   0  [33, 3, 4, 4]   4      52    1   1   [8,12,12,13]   0     0   30
  188  O    2   0  [16, 0, 0, 0]   4      53    3   1   [3,3,3,15]   0     0   49
  188  R    2   0  [32, 3, 4, 4]   4      53    1   0   [0,4,4,3]   0     1   32
  189  O    2   0  [42, 1, 2, 6]   4      55    3   0   [3,0,3,3]   0     0   39
  189  R    2   0  [31, 4, 4, 4]   4      56    3   0   [0,5,5,5]   0     2   31
  190  O    2   0  [44, 1, 0, 5]   4     146    3   2   [10,18,18,31]   0     0   20
  190  R    2   0  [33, 4, 2, 3]   1      57    3   0   [0,5,4,6]   0     0   28
  191  O    2   0  [41, 1, 5, 0]   4     146    3   2   [7,7,7,7]   0     0   40
  191  R    2   0  [29, 4, 4, 4]   4      57   11   1   [9,8,15,9]   0     1   31
  192  O    2   0  [40, 7, 0, 1]   4     150    3   0   [0,1,0,2]   0     0   26
  192  R    2   0  [29, 4, 4, 4]   2     148   32   2   [7,18,13,7]   0     1   28
  193  O    2   0  [40, 4, 1, 6]   4     151    3   0   [0,2,0,7]   0     0   23
  193  R    2   0  [29, 4, 3, 4]   4     150    0   1   [4,7,14,15]   0     0   26
  194  O    2   0  [44, 0, 1, 0]   4     153    3   2   [18,7,24,7]   0     0   37
  194  R    2   0  [28, 4, 4, 5]   4     153    6   2   [7,24,23,23]   0     1   35
  195  O    2   0  [46, 0, 6, 0]   4     149    3   1   [3,15,3,15]   0     0   23
  195  R    2   0  [29, 4, 4, 5]   4     153   14   2   [7,12,18,23]   0     3   32
  196  O    2   0  [63, 4, 2, 3]   4     147    3   0   [1,0,1,1]   0     0   14
  196  R    2   0  [30, 4, 4, 3]   4     149   14   1   [9,4,12,15]   0     0   25
  197  O    2   0  [18, 0, 0, 0]   4     146    3   0   [0,1,1,1]   0     0   66
  197  R    2   0  [29, 3, 5, 4]   4     148    2   1   [9,8,9,6]   0     2   30
  198  O    2   0  [63, 4, 4, 4]   4     145    3   1   [3,3,3,3]   0     0   14
  198  R    2   0  [30, 3, 4, 4]   4     147    0   2   [7,20,25,23]   0     3   29
  199  O    2   0  [16, 0, 0, 0]   4     144    3   2   [7,7,7,7]   0     0   41
  199  R    2   0  [29, 4, 4, 5]   4     145    5   2   [7,1,18,23]   0     2   29

=== second 39 (frames 1950–1999) ===
frame  side sig qoff gains[4]        nlsf_i lag  cont per ltp[4]         ltpscl seed bytes
 1950  O    2   0  [28, 4, 5, 5]   4     110    3   2   [7,27,7,27]   0     0   35
 1950  R    1   0  [27, 3, 4, 6]   4       -    -   -   [-,-,-,-]   -     3   27
 1951  O    2   0  [37, 7, 1,11]   4      45    8   2   [11,18,25,31]   0     0   25
 1951  R    2   0  [29, 7, 7, 4]   4      45   15   1   [10,11,0,5]   0     1   34
 1952  O    2   0  [40, 2, 4, 3]   4      47    0   0   [1,7,7,0]   0     0   34
 1952  R    2   0  [39, 3, 0, 4]   4      50    3   1   [11,0,2,2]   0     2   27
 1953  O    2   0  [40, 3, 2, 7]   4      49    7   2   [18,18,25,31]   0     0   26
 1953  R    2   0  [33, 4, 4, 3]   3      51    2   1   [7,1,13,2]   0     3   31
 1954  O    2   0  [40, 1, 4, 4]   4      49    3   2   [18,18,31,25]   0     0   33
 1954  R    2   0  [32, 4, 3, 4]   1      51    0   1   [13,2,2,2]   0     1   29
 1955  O    2   0  [39, 0, 6, 5]   4      50    3   0   [3,3,3,3]   0     0   33
 1955  R    2   0  [31, 3, 3, 4]   4      53    3   1   [1,13,0,5]   0     0   27
 1956  O    2   0  [40, 3, 3, 7]   4      50    3   1   [2,15,0,15]   0     0   26
 1956  R    2   0  [29, 4, 5, 4]   2      54    7   2   [10,17,17,10]   0     2   34
 1957  O    2   0  [42, 2, 7, 4]   4      51    3   0   [3,3,0,4]   0     0   29
 1957  R    2   0  [32, 5, 5, 5]   4      54   12   2   [25,15,26,9]   0     0   32
 1958  O    2   0  [43, 0, 3, 6]   4      54    3   2   [7,18,18,31]   0     0   34
 1958  R    2   0  [35, 5, 4, 4]   2      56    3   2   [5,12,22,2]   0     2   23
 1959  O    2   0  [39, 4, 2, 5]   4      55    3   2   [18,20,19,19]   0     0   33
 1959  R    2   0  [36, 4, 4, 3]   4      55    5   0   [6,3,4,3]   0     0   35
 1960  O    2   0  [39, 2, 4, 3]   4      53    3   1   [3,15,15,15]   0     0   23
 1960  R    2   0  [35, 3, 3, 4]   2      55    7   1   [0,8,15,15]   0     1   30
 1961  O    2   0  [34, 0, 1, 2]   4     242    3   1   [12,3,3,3]   0     0   34
 1961  R    2   0  [32, 3, 0, 0]   4      56    9   1   [0,0,15,0]   0     2   31
 1962  O    2   0  [23, 0, 2, 5]   4      51    3   2   [18,7,7,7]   0     0   33
 1962  R    1   1  [22, 3, 1, 2]   4       -    -   -   [-,-,-,-]   -     2   25
 1963  O    0   0  [24, 4, 3,14]   4       -    -   -   [-,-,-,-]   -     0   23
 1963  R    1   0  [17, 7, 4, 4]   4       -    -   -   [-,-,-,-]   -     0   25
 1964  O    0   0  [28, 4, 3, 8]   4       -    -   -   [-,-,-,-]   -     0   26
 1964  R    1   0  [34, 3, 0, 4]   4       -    -   -   [-,-,-,-]   -     1   21
 1965  O    2   0  [32, 3, 4, 5]   4     220    3   0   [1,3,1,6]   0     0   35
 1965  R    1   1  [32, 5, 4, 4]   3       -    -   -   [-,-,-,-]   -     0   28
 1966  O    0   0  [34, 5, 3, 5]   4       -    -   -   [-,-,-,-]   -     0   29
 1966  R    1   1  [33, 4, 5, 4]   2       -    -   -   [-,-,-,-]   -     3   33
 1967  O    2   0  [39, 4, 3, 3]   4      48    7   2   [7,25,7,18]   0     0   32
 1967  R    1   0  [34, 6, 4, 4]   2       -    -   -   [-,-,-,-]   -     0   33
 1968  O    2   0  [40, 5, 0, 5]   4      52    3   1   [0,14,3,0]   0     0   29
 1968  R    2   0  [34, 5, 6, 0]   1      56    9   0   [2,2,5,0]   0     0   34
 1969  O    2   0  [38, 3, 3, 5]   4      53    3   2   [7,18,18,31]   0     0   29
 1969  R    2   0  [32, 3, 4, 4]   4      57    9   1   [7,0,1,15]   0     0   27
 1970  O    2   0  [38, 2, 2, 6]   4      54    3   1   [0,15,15,15]   0     0   33
 1970  R    2   0  [30, 4, 3, 4]   3      58    7   1   [5,0,1,2]   0     0   26
 1971  O    2   0  [41, 1, 2, 6]   4      56    3   2   [18,7,7,7]   0     0   37
 1971  R    2   0  [28, 4, 4, 4]   4      57    1   1   [0,2,1,6]   0     0   30
 1972  O    2   0  [43, 0, 0, 1]   4      57    3   2   [31,7,18,18]   0     0   35
 1972  R    2   0  [28, 4, 3, 4]   4      59    4   1   [1,14,2,7]   0     0   22
 1973  O    2   0  [44, 1, 6, 2]   4      57    3   0   [0,0,0,0]   0     0   17
 1973  R    2   0  [26, 4, 4, 4]   4      59    4   2   [10,25,2,10]   0     3   29
 1974  O    2   0  [44, 2, 0, 6]   4      59    3   1   [15,3,3,3]   0     0   57
 1974  R    2   0  [26, 6, 5, 4]   4      60    2   2   [27,16,12,16]   0     0   25
