# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9880	0.9864	-0.0017	-81.62	-154.78	0.647	0.9762	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9943	0.9940	-0.0002	-32.19	-31.55	1.006	0.9882	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9892	0.9866	-0.0026	-135.40	-123.36	1.071	0.9701	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9946	0.9937	-0.0008	-107.07	-125.18	0.898	0.9861	0.9854	0	0
her	64	67.7	67.9	-0.4	0.9829	0.9794	-0.0035	-367.34	-339.00	1.109	0.9468	0.9406	0	0
her	96	101.0	101.5	-0.5	0.9911	0.9902	-0.0009	-208.79	-191.50	1.085	0.9720	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9903	0.9880	-0.0023	-369.03	-128.39	2.872	0.9712	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9953	0.9948	-0.0005	-165.27	-29.16	2.458	0.9847	0.9804	0	0
dl8a	64	65.7	65.8	-0.1	0.9882	0.9865	-0.0017	-210.74	-378.84	0.512	0.9781	0.9723	0	0
dl8a	96	96.5	96.8	-0.3	0.9938	0.9934	-0.0004	-156.76	-423.47	0.336	0.9874	0.9864	0	0
hein	64	64.8	64.9	-0.2	0.9888	0.9874	-0.0014	-344.06	-388.31	0.853	0.9318	0.9148	0	0
hein	96	86.8	86.9	-0.2	0.9946	0.9930	-0.0016	-117.93	-246.46	0.528	0.9689	0.9499	0	0
