# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.0	69.2	-0.3	0.9875	0.9864	-0.0012	-157.46	-154.78	1.014	0.9763	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9939	0.9940	+0.0002	-116.75	-31.55	1.842	0.9883	0.9888	0	0
zaur	64	63.3	63.6	-0.4	0.9883	0.9866	-0.0017	-143.92	-123.36	1.123	0.9695	0.9686	0	0
zaur	96	92.8	93.9	-1.1	0.9940	0.9937	-0.0002	-105.85	-125.18	0.891	0.9858	0.9854	0	0
her	64	67.4	67.9	-0.8	0.9821	0.9794	-0.0026	-325.83	-339.00	0.952	0.9464	0.9406	0	0
her	96	100.3	101.5	-1.2	0.9910	0.9902	-0.0007	-234.41	-191.50	1.217	0.9754	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9898	0.9880	-0.0019	-257.24	-128.39	1.865	0.9697	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9948	0.9948	-0.0001	-271.56	-29.16	3.986	0.9842	0.9804	0	0
dl8a	64	65.6	65.8	-0.3	0.9876	0.9865	-0.0011	-422.17	-378.84	1.162	0.9778	0.9723	0	0
dl8a	96	96.5	96.8	-0.4	0.9932	0.9934	+0.0002	-420.05	-423.47	0.988	0.9870	0.9864	0	0
hein	64	64.6	64.9	-0.4	0.9886	0.9874	-0.0012	-380.03	-388.31	0.971	0.9307	0.9148	0	0
hein	96	86.7	86.9	-0.2	0.9945	0.9930	-0.0015	-351.77	-246.46	1.514	0.9683	0.9499	0	0
